week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-03-22,Chickpea,ingredient,kg,3,1,20,0
2026-03-22,Corriander,ingredient,kg,13,2,4,11
2026-03-22,Dates,ingredient,kg,12,2,20,0
2026-03-22,Garlic,ingredient,kg,3,1,10,0
2026-03-22,Ginger,ingredient,kg,3,1,5,0
2026-03-22,Green chilli,ingredient,kg,15,3,5,13
2026-03-22,Lemon,ingredient,kg,1,1,6,0
2026-03-22,Lentils,ingredient,kg,2,1,25,0
2026-03-22,Mint,ingredient,kg,12,2,5,9
2026-03-22,Onion,ingredient,kg,5,1,25,0
2026-03-22,Paneer,ingredient,kg,4,1,20,0
2026-03-22,Potato,ingredient,kg,1,1,20,0
2026-03-22,Red KidneyBean,ingredient,kg,3,1,20,0
2026-03-22,Spices Mix,ingredient,kg,1,1,5,0
2026-03-22,Strawberry,ingredient,kg,1,1,10,0
2026-03-22,Tamarid,ingredient,kg,6,1,10,0
2026-03-22,Tomato,ingredient,kg,4,1,30,0
2026-03-22,Yogurt Base,ingredient,kg,2,1,15,0
2026-03-22,spices mix,ingredient,kg,1,1,0,2
2026-03-22,Drink Cup Type L,packaging,each,3,1,180,0
2026-03-22,Meal Box Type 1,packaging,each,35,4,500,0
2026-03-22,Pani Puri Box Type B,packaging,each,6,1,300,0
2026-03-22,Soup Container Type S,packaging,each,6,1,300,0
2026-03-22,Water Bottle,packaging,each,4,1,100,0
2026-03-22,Yogurt Cup Type A,packaging,each,7,1,300,0
