week_end_date,item,waste_qty_units,Unit Cost,reason,estimated_cost
2026-01-04,Chickpea Meal Plate,3,8.99,leftover,26.97
2026-01-04,Red KidneyBean Plate,4,8.99,leftover,35.96
2026-01-04,Strawberry yogurt,4,4.99,leftover,19.96
2026-01-04,Lentil soup,5,7.99,leftover,39.95
2026-01-04,Pani Puri 12 Balls,1,6.0,leftover,6.0
2026-01-11,Paneer Meal Plate,4,8.99,leftover,35.96
2026-01-11,Strawberry yogurt,2,4.99,leftover,9.98
2026-01-11,Lentil soup,3,7.99,leftover,23.97
2026-01-11,Pani Puri 12 Balls,1,6.0,leftover,6.0
2026-01-11,Chickpea Meal Plate,3,8.99,leftover,26.97
2026-01-11,Red KidneyBean Plate,4,8.99,leftover,35.96
2026-01-18,Paneer Meal Plate,3,8.99,leftover,26.97
2026-01-18,Strawberry yogurt,4,4.99,leftover,19.96
2026-01-18,Lentil soup,3,7.99,leftover,23.97
2026-01-18,Pani Puri 12 Balls,2,6.0,leftover,12.0
2026-01-18,Chickpea Meal Plate,3,8.99,leftover,26.97
2026-01-18,Red KidneyBean Plate,2,8.99,leftover,17.98
2026-01-25,Paneer Meal Plate,3,8.99,leftover,26.97
2026-01-25,Lentil soup,3,7.99,leftover,23.97
2026-01-25,Pani Puri 12 Balls,2,6.0,leftover,12.0
2026-01-25,Chickpea Meal Plate,2,8.99,leftover,17.98
2026-01-25,Red KidneyBean Plate,3,8.99,leftover,26.97
2026-02-01,Paneer Meal Plate,1,8.99,leftover,8.99
2026-02-01,Strawberry yogurt,5,4.99,leftover,24.950000000000003
2026-02-01,Lentil soup,2,7.99,leftover,15.98
2026-02-01,Pani Puri 12 Balls,3,6.0,leftover,18.0
2026-02-01,Chickpea Meal Plate,2,8.99,leftover,17.98
2026-02-01,Red KidneyBean Plate,4,8.99,leftover,35.96
2026-02-08,Strawberry yogurt,1,4.99,leftover,4.99
2026-02-08,Lentil soup,2,7.99,leftover,15.98
2026-02-08,Pani Puri 12 Balls,1,6.0,leftover,6.0
2026-02-08,Chickpea Meal Plate,3,8.99,leftover,26.97
2026-02-08,Red KidneyBean Plate,2,8.99,leftover,17.98
2026-02-15,Lentil soup,1,7.99,leftover,7.99
2026-02-22,Paneer Meal Plate,1,8.99,leftover,8.99
2026-02-22,Strawberry yogurt,5,4.99,leftover,24.950000000000003
2026-02-22,Lentil soup,2,7.99,leftover,15.98
2026-02-22,Pani Puri 12 Balls,2,6.0,leftover,12.0
2026-02-22,Chickpea Meal Plate,3,8.99,leftover,26.97
2026-02-22,Red KidneyBean Plate,2,8.99,leftover,17.98
2026-03-01,Pani Puri 12 Balls,2,6.0,leftover,12.0
2026-03-01,Chickpea Meal Plate,1,8.99,leftover,8.99
2026-03-01,Red KidneyBean Plate,1,8.99,leftover,8.99
2026-03-15,Paneer Meal Plate,3,8.99,leftover,26.97
2026-03-15,Strawberry yogurt,2,4.99,leftover,9.98
2026-03-15,Lentil soup,3,7.99,leftover,23.97
2026-03-15,Pani Puri 12 Balls,2,6.0,leftover,12.0
2026-03-15,Chickpea Meal Plate,1,8.99,leftover,8.99
2026-03-15,Red KidneyBean Plate,1,8.99,leftover,8.99
2026-03-22,Paneer Meal Plate,2,8.99,Out of Stock,17.98
2026-03-22,Strawberry yogurt,2,4.99,Out of Stock,9.98
2026-03-22,Lentil soup,3,7.99,Out of Stock,23.97
2026-03-22,Chickpea Meal Plate,3,8.99,Out of Stock,26.97
2026-04-01,Paneer Meal Plate,2,8.99,Out of Stock,17.98
2026-04-01,Strawberry yogurt,2,4.99,Out of Stock,9.98
2026-04-01,Lentil soup,2,7.99,Out of Stock,15.98
2026-04-01,Chickpea Meal Plate,2,8.99,Out of Stock,17.98
2026-04-01,Red KidneyBean Plate,2,8.99,Out of Stock,17.98
